korean,stem,createdDate,english,hanja,lastUpdated,order_id,storyList
천지,천지 ,{'$date': {'$numberLong': '1599430742443'}},heaven and earth (the whole world),天地,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 77},['5f53fc3cceceb9573eaf8788']
한철,한철 ,{'$date': {'$numberLong': '1599430742443'}},one season,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 78},['5f53fc3cceceb9573eaf8788']
둘레,둘레 ,{'$date': {'$numberLong': '1599430742443'}}, ,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 79},['5f53fc3cceceb9573eaf8788']
꽃숲,꽃숲 ,{'$date': {'$numberLong': '1599430742443'}},flower forest,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 80},['5f53fc3cceceb9573eaf8788']
이루,이루다 ,{'$date': {'$numberLong': '1599430742443'}},"form, make",,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 81},['5f53fc3cceceb9573eaf8788']
벚꽃,벚꽃 ,{'$date': {'$numberLong': '1599430742443'}},cherry blossom,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 82},['5f53fc3cceceb9573eaf8788']
살구꽃,살구꽃 ,{'$date': {'$numberLong': '1599430742443'}},apricot blossom,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 83},['5f53fc3cceceb9573eaf8788']
철쭉,철쭉 ,{'$date': {'$numberLong': '1599430742443'}},royal azalea blossom,,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 84},['5f53fc3cceceb9573eaf8788']
목련,목련 ,{'$date': {'$numberLong': '1599430742443'}},magnolia,木蓮,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 85},['5f53fc3cceceb9573eaf8788']
산당화,산당화 ,{'$date': {'$numberLong': '1599430742443'}},sweet mountain brier,山棠花,{'$date': {'$numberLong': '1599430742443'}},{'$numberInt': 86},['5f53fc3cceceb9573eaf8788']
